date,open,high,low,close
2023-06-06 16:00:00,1.16700000,1.20000000,1.16460000,1.19530000
2023-06-06 20:00:00,1.19500000,1.19730000,1.16740000,1.18960000
2023-06-07 00:00:00,1.18960000,1.19580000,1.16740000,1.17510000
2023-06-07 04:00:00,1.17530000,1.18620000,1.16960000,1.16960000
2023-06-07 08:00:00,1.16990000,1.17560000,1.13410000,1.16780000
2023-06-07 12:00:00,1.16800000,1.16840000,1.13190000,1.13500000
2023-06-07 16:00:00,1.13490000,1.14200000,1.12480000,1.13390000
2023-06-07 20:00:00,1.13390000,1.13680000,1.11590000,1.12610000
2023-06-08 00:00:00,1.12610000,1.13690000,1.10560000,1.10880000
2023-06-08 04:00:00,1.10880000,1.13630000,1.10750000,1.12860000
2023-06-08 08:00:00,1.12860000,1.13430000,1.12290000,1.13100000
2023-06-08 12:00:00,1.13130000,1.15140000,1.12670000,1.14240000
2023-06-08 16:00:00,1.14230000,1.14370000,1.12070000,1.13130000
2023-06-08 20:00:00,1.13120000,1.13650000,1.12720000,1.12870000
2023-06-09 00:00:00,1.12880000,1.13640000,1.11450000,1.13540000
2023-06-09 04:00:00,1.13530000,1.13810000,1.12490000,1.13280000
2023-06-09 08:00:00,1.13250000,1.14480000,1.13070000,1.14030000
2023-06-09 12:00:00,1.14050000,1.15400000,1.13000000,1.13300000
2023-06-09 16:00:00,1.13290000,1.13670000,1.12140000,1.12340000
2023-06-09 20:00:00,1.12320000,1.13340000,1.12130000,1.13170000
2023-06-10 00:00:00,1.13170000,1.13380000,1.08800000,1.09490000
2023-06-10 04:00:00,1.09510000,1.10030000,0.98000000,1.02640000
2023-06-10 08:00:00,1.02630000,1.03680000,1.00630000,1.02250000
2023-06-10 12:00:00,1.02270000,1.02270000,0.95100000,0.97240000
2023-06-10 16:00:00,0.97230000,1.01620000,0.92940000,0.98580000
2023-06-10 20:00:00,0.98600000,0.99930000,0.97310000,0.99320000
2023-06-11 00:00:00,0.99330000,1.00220000,0.97400000,0.99440000
2023-06-11 04:00:00,0.99440000,1.00930000,0.98160000,1.00070000
2023-06-11 08:00:00,1.00050000,1.01240000,0.99330000,1.00470000
2023-06-11 12:00:00,1.00470000,1.00600000,0.98540000,0.98880000
2023-06-11 16:00:00,0.98850000,1.00820000,0.98000000,1.00060000
2023-06-11 20:00:00,1.00080000,1.01780000,0.98110000,0.99200000
2023-06-12 00:00:00,0.99210000,0.99810000,0.95600000,0.96730000
2023-06-12 04:00:00,0.96730000,0.97570000,0.95650000,0.95840000
2023-06-12 08:00:00,0.95860000,0.99290000,0.95400000,0.99070000
2023-06-12 12:00:00,0.99080000,0.99650000,0.97280000,0.97770000
2023-06-12 16:00:00,0.97790000,0.98390000,0.96170000,0.96880000
2023-06-12 20:00:00,0.96880000,0.98320000,0.96680000,0.97880000
2023-06-13 00:00:00,0.97870000,1.01000000,0.96850000,1.00060000
2023-06-13 04:00:00,1.00070000,1.01860000,0.98790000,1.00830000
2023-06-13 08:00:00,1.00840000,1.03400000,1.00080000,1.01590000
2023-06-13 12:00:00,1.01580000,1.03200000,0.97140000,0.97500000
